alpha_resin,alpha_short,alpha_long,crossover_threshold,spread_margin,RAINFOREST_RESIN_PnL,KELP_PnL,Total_PnL
0.2,0.2,0.05,1.0,0.0,-19648.0,0.0,-19648.0
0.2,0.2,0.05,1.0,0.5,-19652.0,0.0,-19652.0
0.2,0.2,0.05,1.0,1.0,10334.0,0.0,10334.0
0.2,0.2,0.1,0.0,0.0,-19648.0,-2036.0,-21684.0
0.2,0.2,0.1,0.0,0.5,-19652.0,-2036.0,-21688.0
0.2,0.2,0.1,0.0,1.0,10334.0,-2036.0,8298.0
0.2,0.2,0.1,0.5,0.0,-19648.0,0.0,-19648.0
0.2,0.2,0.1,0.5,0.5,-19652.0,0.0,-19652.0
0.2,0.2,0.1,0.5,1.0,10334.0,0.0,10334.0
0.2,0.2,0.1,1.0,0.0,-19648.0,0.0,-19648.0
0.2,0.2,0.1,1.0,0.5,-19652.0,0.0,-19652.0
0.2,0.2,0.1,1.0,1.0,10334.0,0.0,10334.0
0.2,0.2,0.15,0.0,0.0,-19648.0,-4072.0,-23720.0
0.2,0.2,0.15,0.0,0.5,-19652.0,-4072.0,-23724.0
0.2,0.2,0.15,0.0,1.0,10334.0,-4072.0,6262.0
0.2,0.2,0.15,0.5,0.0,-19648.0,0.0,-19648.0
0.2,0.2,0.15,0.5,0.5,-19652.0,0.0,-19652.0
0.2,0.2,0.15,0.5,1.0,10334.0,0.0,10334.0
0.2,0.2,0.15,1.0,0.0,-19648.0,0.0,-19648.0
0.2,0.2,0.15,1.0,0.5,-19652.0,0.0,-19652.0
0.2,0.2,0.15,1.0,1.0,10334.0,0.0,10334.0
0.2,0.3,0.05,0.0,0.0,-19648.0,-4071.0,-23719.0
0.2,0.3,0.05,0.0,0.5,-19652.0,-4071.0,-23723.0
0.2,0.3,0.05,0.0,1.0,10334.0,-4071.0,6263.0
0.2,0.3,0.05,0.5,0.0,-19648.0,0.0,-19648.0
0.2,0.3,0.05,0.5,0.5,-19652.0,0.0,-19652.0
0.2,0.3,0.05,0.5,1.0,10334.0,0.0,10334.0
0.2,0.3,0.05,1.0,0.0,-19648.0,0.0,-19648.0
0.2,0.3,0.05,1.0,0.5,-19652.0,0.0,-19652.0
0.2,0.3,0.05,1.0,1.0,10334.0,0.0,10334.0
0.2,0.3,0.1,0.0,0.0,-19648.0,-4072.0,-23720.0
0.2,0.3,0.1,0.0,0.5,-19652.0,-4072.0,-23724.0
0.2,0.3,0.1,0.0,1.0,10334.0,-4072.0,6262.0
0.2,0.3,0.1,0.5,0.0,-19648.0,0.0,-19648.0
0.2,0.3,0.1,0.5,0.5,-19652.0,0.0,-19652.0
0.2,0.3,0.1,0.5,1.0,10334.0,0.0,10334.0
0.2,0.3,0.1,1.0,0.0,-19648.0,0.0,-19648.0
0.2,0.3,0.1,1.0,0.5,-19652.0,0.0,-19652.0
0.2,0.3,0.1,1.0,1.0,10334.0,0.0,10334.0
0.2,0.3,0.15,0.0,0.0,-19648.0,-3.0,-19651.0
0.2,0.3,0.15,0.0,0.5,-19652.0,-3.0,-19655.0
0.2,0.3,0.15,0.0,1.0,10334.0,-3.0,10331.0
0.2,0.3,0.15,0.5,0.0,-19648.0,0.0,-19648.0
0.2,0.3,0.15,0.5,0.5,-19652.0,0.0,-19652.0
0.2,0.3,0.15,0.5,1.0,10334.0,0.0,10334.0
0.2,0.3,0.15,1.0,0.0,-19648.0,0.0,-19648.0
0.2,0.3,0.15,1.0,0.5,-19652.0,0.0,-19652.0
0.2,0.3,0.15,1.0,1.0,10334.0,0.0,10334.0
0.2,0.4,0.05,0.0,0.0,-19648.0,-6107.0,-25755.0
0.2,0.4,0.05,0.0,0.5,-19652.0,-6107.0,-25759.0
0.2,0.4,0.05,0.0,1.0,10334.0,-6107.0,4227.0
0.2,0.4,0.05,0.5,0.0,-19648.0,0.0,-19648.0
0.2,0.4,0.05,0.5,0.5,-19652.0,0.0,-19652.0
0.2,0.4,0.05,0.5,1.0,10334.0,0.0,10334.0
0.2,0.4,0.05,1.0,0.0,-19648.0,0.0,-19648.0
0.2,0.4,0.05,1.0,0.5,-19652.0,0.0,-19652.0
0.2,0.4,0.05,1.0,1.0,10334.0,0.0,10334.0
0.2,0.4,0.1,0.0,0.0,-19648.0,-2037.0,-21685.0
0.2,0.4,0.1,0.0,0.5,-19652.0,-2037.0,-21689.0
0.2,0.4,0.1,0.0,1.0,10334.0,-2037.0,8297.0
0.2,0.4,0.1,0.5,0.0,-19648.0,0.0,-19648.0
0.2,0.4,0.1,0.5,0.5,-19652.0,0.0,-19652.0
0.2,0.4,0.1,0.5,1.0,10334.0,0.0,10334.0
0.2,0.4,0.1,1.0,0.0,-19648.0,0.0,-19648.0
0.2,0.4,0.1,1.0,0.5,-19652.0,0.0,-19652.0
0.2,0.4,0.1,1.0,1.0,10334.0,0.0,10334.0
0.2,0.4,0.15,0.0,0.0,-19648.0,-1.0,-19649.0
0.2,0.4,0.15,0.0,0.5,-19652.0,-1.0,-19653.0
0.2,0.4,0.15,0.0,1.0,10334.0,-1.0,10333.0
0.2,0.4,0.15,0.5,0.0,-19648.0,0.0,-19648.0
0.2,0.4,0.15,0.5,0.5,-19652.0,0.0,-19652.0
0.2,0.4,0.15,0.5,1.0,10334.0,0.0,10334.0
0.2,0.4,0.15,1.0,0.0,-19648.0,0.0,-19648.0
0.2,0.4,0.15,1.0,0.5,-19652.0,0.0,-19652.0
0.2,0.4,0.15,1.0,1.0,10334.0,0.0,10334.0
